iter	Logloss
0	0.6823663168
1	0.6738754098
2	0.663858508
3	0.6541436489
4	0.6448960685
5	0.6356147795
6	0.6257309134
7	0.6166143381
8	0.6074986911
9	0.5989177399
10	0.5904565383
11	0.5819748563
12	0.5743484787
13	0.5662546484
14	0.5582398389
15	0.550727061
16	0.5440067538
17	0.5366324073
18	0.5299089671
19	0.5233464114
20	0.5171004611
21	0.5106459353
22	0.5039696059
23	0.4984187717
24	0.4931264667
25	0.4872497443
26	0.4814908278
27	0.4759397325
28	0.4705879008
29	0.4652035209
30	0.4599583267
31	0.4549986981
32	0.4501728595
33	0.4454038787
34	0.4405392549
35	0.4358581717
36	0.4312507426
37	0.4266421242
38	0.4223962646
39	0.4188064749
40	0.4145954843
41	0.4102091916
42	0.4059666101
43	0.4021152743
44	0.3985162887
45	0.3947843834
46	0.3921016214
47	0.388458397
48	0.384839047
49	0.3816420406
50	0.3780839289
51	0.3750116617
52	0.3720663963
53	0.3689556629
54	0.3663669775
55	0.3632523569
56	0.3601202439
57	0.3573567786
58	0.3541987604
59	0.3514033561
60	0.3487885914
61	0.3462019366
62	0.3433156757
63	0.3407882864
64	0.3382258542
65	0.3366279747
66	0.3344328558
67	0.3328325685
68	0.330501774
69	0.3280490542
70	0.3256701335
71	0.3233241382
72	0.3212861326
73	0.3190108615
74	0.3171285767
75	0.3149318623
76	0.3128962644
77	0.3111246493
78	0.3089216109
79	0.3071813837
80	0.3053301967
81	0.3035039865
82	0.3015990747
83	0.2997929098
84	0.2977474778
85	0.2959237915
86	0.2940906481
87	0.2923320872
88	0.2906284695
89	0.2889122038
90	0.2874914829
91	0.2858959242
92	0.2846255864
93	0.2828667934
94	0.2813130368
95	0.2796069243
96	0.2780554014
97	0.277091893
98	0.275718776
99	0.2743087595
100	0.2728335885
101	0.2713868754
102	0.2703442882
103	0.2692397375
104	0.268049639
105	0.2666491954
106	0.2657766016
107	0.2644926586
108	0.2634428771
109	0.2625576933
110	0.2614365494
111	0.2604765801
112	0.2591865453
113	0.2579987675
114	0.2570215958
115	0.2559483749
116	0.254804749
117	0.2535579667
118	0.2525226608
119	0.2515168861
120	0.2507830138
121	0.2499660593
122	0.2494638537
123	0.248935888
124	0.247846161
125	0.2468957067
126	0.2460167888
127	0.2450043131
128	0.2440361342
129	0.2433286602
130	0.2423826152
131	0.241397437
132	0.2403452333
133	0.2395100467
134	0.2384361151
135	0.237815915
136	0.2369579707
137	0.2360243997
138	0.2350183639
139	0.2342039768
140	0.2336380962
141	0.2328075365
142	0.2319999666
143	0.2313606349
144	0.2304935673
145	0.2298450107
146	0.2289580719
147	0.228260867
148	0.2277619685
149	0.2268566523
150	0.2260938724
151	0.2253799438
152	0.2247329683
153	0.2241391229
154	0.2233531502
155	0.2226647497
156	0.2219600895
157	0.2212941565
158	0.2208180011
159	0.2201698361
160	0.2194157735
161	0.2188230739
162	0.2181171229
163	0.2176425339
164	0.2171112612
165	0.2164825323
166	0.2158963744
167	0.2153159457
168	0.2145748936
169	0.2139838476
170	0.2133628062
171	0.2128263698
172	0.2122787505
173	0.2115881162
174	0.2109953732
175	0.2102995463
176	0.2096569511
177	0.2092261369
178	0.2087479943
179	0.2084514487
180	0.2080171679
181	0.2075656412
182	0.2070977679
183	0.2065575023
184	0.2058137379
185	0.2052590258
186	0.2047079543
187	0.2040053828
188	0.2035337093
189	0.2029092448
190	0.2024195856
191	0.2019037167
192	0.2013841781
193	0.2009016262
194	0.2005740554
195	0.2003831755
196	0.1998823333
197	0.1994733629
198	0.1990082454
199	0.1986894499
200	0.198025533
201	0.1978473881
202	0.1974777396
203	0.1970813882
204	0.1967869603
205	0.1961931584
206	0.1957448807
207	0.1952166829
208	0.1947335943
209	0.1943488466
210	0.1938178929
211	0.1934698852
212	0.193109273
213	0.1928409533
214	0.1922299635
215	0.1918962718
216	0.1917130068
217	0.1912888647
218	0.1909231904
219	0.1906006672
220	0.1901942496
221	0.1899922592
222	0.1895521041
223	0.189094674
224	0.1885653014
225	0.1882668847
226	0.1877843327
227	0.1873353443
228	0.1868366778
229	0.1864082714
230	0.1860578269
231	0.1856591692
232	0.1854222519
233	0.1849181752
234	0.1843784463
235	0.1840825969
236	0.1835025454
237	0.1831499687
238	0.1827483812
239	0.1823070367
240	0.1822461611
241	0.18187
242	0.1814549667
243	0.1810308826
244	0.1806807717
245	0.1800437318
246	0.1795974702
247	0.1793834846
248	0.1790155186
249	0.1788478025
250	0.1785072066
251	0.178232998
252	0.1777252952
253	0.1773771424
254	0.1769467923
255	0.1766619084
256	0.1762860954
257	0.1757921139
258	0.1756106765
259	0.1751420779
260	0.1748139849
261	0.1745412993
262	0.1740582832
263	0.1736183602
264	0.173354827
265	0.1729640018
266	0.1726120923
267	0.1723195645
268	0.1721136724
269	0.171706167
270	0.1712484614
271	0.1708646999
272	0.1704854349
273	0.1701946621
274	0.1696955895
275	0.1692643546
276	0.1689055265
277	0.168625052
278	0.1684119946
279	0.168112026
280	0.1677960588
281	0.1674215077
282	0.1672011691
283	0.1668048757
284	0.1665436777
285	0.1663055855
286	0.165875569
287	0.1657185428
288	0.1653667203
289	0.1650925843
290	0.1646048832
291	0.1642693059
292	0.1640998637
293	0.1637940933
294	0.1633501379
295	0.1630746239
296	0.1628074211
297	0.1624488105
298	0.1622030599
299	0.1618151647
300	0.1615456121
301	0.1611493042
302	0.1608953005
303	0.1607001562
304	0.1601967177
305	0.1598542072
306	0.1595449556
307	0.1593417759
308	0.1590550789
309	0.1588414703
310	0.1583721465
311	0.15810754
312	0.1577375434
313	0.1573782801
314	0.157108684
315	0.1568497632
316	0.1564826965
317	0.1560831976
318	0.1558506026
319	0.1556358337
320	0.1554367588
321	0.1549215861
322	0.1546690618
323	0.1545062627
324	0.1539698264
325	0.1535370685
326	0.1532707795
327	0.1531091697
328	0.1527270763
329	0.1525556905
330	0.1522671224
331	0.151954883
332	0.1516887534
333	0.1513147535
334	0.15121093
335	0.1508229622
336	0.1506747692
337	0.1503946283
338	0.1499812775
339	0.1497484069
340	0.1494966804
341	0.1491346323
342	0.1488840662
343	0.1486019816
344	0.1482436322
345	0.1477839104
346	0.1475032618
347	0.1470543169
348	0.1467831978
349	0.1464923525
350	0.1461183381
351	0.1457492553
352	0.1455201269
353	0.1453967366
354	0.1451643882
355	0.1450583019
356	0.1446991547
357	0.1445492356
358	0.1442957686
359	0.1440534991
360	0.1436937571
361	0.1434721566
362	0.1432216485
363	0.142958884
364	0.1427068964
365	0.1422532956
366	0.1420212372
367	0.1416802642
368	0.141580792
369	0.1412869588
370	0.1409175858
371	0.1406281765
372	0.1403683565
373	0.1401599115
374	0.1400051625
375	0.1397931494
376	0.139447854
377	0.139207151
378	0.1390297023
379	0.1386567613
380	0.1383880209
381	0.1382452816
382	0.1380340228
383	0.1378426788
384	0.1375578964
385	0.1373707731
386	0.1371841431
387	0.1368693073
388	0.1365483795
389	0.1363362359
390	0.1361349853
391	0.1358731346
392	0.135660904
393	0.1353993144
394	0.1352191824
395	0.1349977123
396	0.1347361082
397	0.13456011
398	0.1343245706
399	0.1339104946
400	0.1337232408
401	0.1335588462
402	0.1332894967
403	0.1331081608
404	0.1328280489
405	0.1324304936
406	0.1323337047
407	0.1322715527
408	0.1320835012
409	0.1318373009
410	0.1316857574
411	0.1314241533
412	0.1311290146
413	0.1309414418
414	0.1307056993
415	0.1305578544
416	0.1303964767
417	0.1301474626
418	0.129897288
419	0.1297737383
420	0.1295111769
421	0.1292782483
422	0.1291374091
423	0.1288911943
424	0.1286018285
425	0.128321528
426	0.1281186963
427	0.127994958
428	0.127762334
429	0.1274332257
430	0.1271939586
431	0.1269763033
432	0.1267794765
433	0.1264909229
434	0.1263210166
435	0.1262189771
436	0.1260521892
437	0.1257171051
438	0.1255467636
439	0.1254119583
440	0.1251520367
441	0.1248178808
