iter	Passed	Remaining
0	205	205415
1	237	118508
2	268	89109
3	298	74234
4	328	65351
5	360	59746
6	392	55665
7	423	52532
8	455	50184
9	485	48077
10	517	46505
11	548	45171
12	578	43919
13	611	43050
14	643	42229
15	675	41528
16	706	40827
17	736	40198
18	768	39704
19	801	39264
20	832	38810
21	863	38370
22	892	37923
23	923	37559
24	941	36707
25	971	36405
26	1002	36129
27	1032	35851
28	1062	35577
29	1092	35327
30	1123	35121
31	1152	34864
32	1182	34663
33	1212	34438
34	1242	34252
35	1271	34043
36	1301	33870
37	1331	33706
38	1360	33531
39	1390	33372
40	1420	33236
41	1453	33158
42	1486	33076
43	1517	32968
44	1547	32843
45	1578	32744
46	1585	32141
47	1617	32077
48	1648	31995
49	1685	32018
50	1715	31918
51	1746	31842
52	1778	31778
53	1809	31705
54	1842	31658
55	1875	31613
56	1907	31554
57	1938	31487
58	1970	31420
59	2002	31368
60	2033	31304
61	2065	31251
62	2095	31172
63	2126	31095
64	2156	31020
65	2164	30636
66	2195	30575
67	2201	30168
68	2230	30100
69	2259	30024
70	2291	29977
71	2322	29935
72	2353	29887
73	2383	29831
74	2414	29781
75	2446	29738
76	2475	29674
77	2507	29643
78	2538	29597
79	2569	29553
80	2599	29496
81	2630	29444
82	2662	29419
83	2693	29370
84	2726	29346
85	2755	29285
86	2785	29234
87	2816	29186
88	2846	29137
89	2877	29092
90	2909	29058
91	2939	29006
92	2970	28965
93	3000	28919
94	3032	28886
95	3064	28855
96	3095	28814
97	3125	28767
98	3155	28721
99	3187	28683
100	3218	28645
101	3250	28617
102	3282	28583
103	3313	28550
104	3345	28514
105	3377	28482
106	3409	28456
107	3441	28422
108	3472	28381
109	3503	28348
110	3534	28311
111	3564	28261
112	3595	28226
113	3623	28161
114	3650	28093
115	3681	28051
116	3719	28072
117	3748	28021
118	3778	27976
119	3810	27942
120	3840	27901
121	3872	27870
122	3880	27670
123	3911	27635
124	3942	27594
125	3971	27549
126	4002	27512
127	4034	27486
128	4066	27455
129	4096	27416
130	4127	27378
131	4157	27340
132	4188	27301
133	4218	27265
134	4249	27225
135	4281	27199
136	4312	27162
137	4341	27121
138	4372	27081
139	4402	27042
140	4432	27000
141	4462	26963
142	4495	26941
143	4524	26892
144	4555	26859
145	4586	26825
146	4617	26791
147	4648	26759
148	4681	26736
149	4714	26713
150	4746	26689
151	4777	26656
152	4808	26618
153	4840	26590
154	4871	26556
155	4901	26520
156	4932	26482
157	4964	26453
158	4995	26420
159	5026	26387
160	5057	26353
161	5088	26321
162	5119	26288
163	5150	26257
164	5181	26221
165	5211	26183
166	5242	26147
167	5272	26112
168	5303	26076
169	5333	26042
170	5365	26013
171	5396	25977
172	5427	25944
173	5457	25908
174	5488	25874
175	5518	25838
176	5549	25803
177	5579	25764
178	5609	25730
179	5640	25694
180	5671	25664
181	5703	25634
182	5734	25601
183	5764	25565
184	5797	25538
185	5826	25500
186	5857	25464
187	5889	25436
188	5920	25404
189	5949	25365
190	5979	25326
191	6009	25290
192	6039	25254
193	6068	25214
194	6097	25171
195	6127	25134
196	6154	25088
197	6181	25040
198	6213	25008
199	6243	24973
200	6274	24940
201	6302	24899
202	6330	24852
203	6359	24814
204	6392	24788
205	6422	24754
206	6452	24719
207	6483	24687
208	6515	24657
209	6544	24619
210	6577	24594
211	6607	24559
212	6638	24527
213	6668	24492
214	6697	24454
215	6728	24420
216	6758	24386
217	6788	24351
218	6820	24322
219	6852	24293
220	6883	24262
221	6914	24232
222	6945	24201
223	6976	24170
224	7009	24142
225	7040	24111
226	7072	24082
227	7103	24051
228	7132	24015
229	7165	23988
230	7196	23956
231	7225	23918
232	7255	23882
233	7285	23850
234	7315	23815
235	7345	23780
236	7376	23747
237	7404	23707
238	7433	23669
239	7465	23640
240	7470	23527
241	7501	23496
242	7532	23465
243	7563	23434
244	7594	23402
245	7625	23371
246	7654	23335
247	7683	23297
248	7713	23263
249	7744	23232
250	7776	23207
251	7806	23171
252	7837	23140
253	7867	23107
254	7897	23073
255	7927	23040
256	7958	23008
257	7988	22975
258	8018	22940
259	8048	22908
260	8078	22873
261	8108	22840
262	8141	22815
263	8173	22787
264	8206	22761
265	8238	22733
266	8269	22702
267	8300	22670
268	8330	22638
269	8362	22609
270	8394	22582
271	8426	22552
272	8457	22522
273	8485	22483
274	8515	22450
275	8547	22421
276	8578	22390
277	8610	22363
278	8641	22332
279	8673	22302
280	8706	22277
281	8740	22253
282	8777	22237
283	8805	22199
284	8833	22161
285	8862	22125
286	8891	22090
287	8923	22059
288	8951	22022
289	8983	21993
290	9015	21966
291	9047	21937
292	9082	21915
293	9112	21883
294	9146	21859
295	9177	21827
296	9208	21795
297	9237	21761
298	9264	21720
299	9297	21694
300	9324	21654
301	9356	21625
302	9387	21593
303	9417	21560
304	9446	21525
305	9476	21493
306	9508	21462
307	9537	21429
308	9567	21395
309	9597	21361
310	9627	21328
311	9657	21296
312	9687	21263
313	9718	21232
314	9748	21198
315	9777	21164
316	9810	21137
317	9840	21104
318	9870	21072
319	9901	21040
320	9931	21008
321	9963	20978
322	9995	20951
